pageid,revision_id,title,ns
40832142,998802962,Darantasia cyanoxantha,0
44148875,847293563,Megachile thoracica,0
53877639,911719397,Amara similata,0
37339728,1007169786,Fulda imorina,0
41683274,998671924,Idalus critheis,0
12165086,1055560378,Pied butterfly bat,0
43283914,1010396660,Rhinophis erangaviraji,0
22235748,1008296857,Kloosia,0
22579301,1008288606,Hexachaeta seabrai,0
23750237,1013626744,Lappula squarrosa,0
32992838,922440299,C. similis,0
321589,1077096140,Eurasian sparrowhawk,0
12384903,1055669343,Bahius,0
5816620,1027881579,Thaumastochilus termitomimus,0
42375638,998679660,Utetheisa disrupta,0
275833,1026067208,Buxales,0
22358894,1014783350,Xerula australis,0
4675978,1054830168,Puerto Rican tanager,0
59457020,1010234614,Otitoma timorensis,0
66716312,1075287866,Koobor,0
1522987,1075272293,Gonochorism,0
13407628,1074168890,Metroxylon sagu,0
12408911,1055557074,Chevron-spotted brown frog,0
11445762,1064540497,Platynematichthys,0
39346478,1077890020,Comamonas granuli,0
44240786,1023878886,Pyrausta draesekei,0
57043910,998522916,Epiblema scudderiana,0
67499476,1032682781,Neotephritis quadrata,0
57215460,917336240,Bledius analis,0
27008152,1062464183,Perrinia docili,0
12881116,1011177574,Hecistopteris,0
51031621,1009588914,Declinognathodus,0
2244211,945458343,Red gum,0
12402478,1055573624,La Palma salamander,0
13179037,1035193699,GPER,0
26862989,1063001129,Brocchinia azorica,0
40888019,998902889,Pseudatteria bradleyi,0
65005461,1020442984,Prostanthera albiflora,0
69160195,1052866934,Fusulus,0
2101048,1057639577,Hypomyces lactifluorum,0
57290200,998238184,Properigea perolivalis,0
31693155,1041720242,Melanthera waimeaensis,0
57286732,1078453823,List of Pedicia species,0
52694240,977833493,Gephyroctenus,0
27098437,1065540886,Ergalatax martensi,0
56568777,998234745,Cucullia eulepis,0
34267292,1068408577,Domenico Viviani,0
39409176,997208508,Carbia pulchrilinea,0
12927379,928774568,Passiflora vitifolia,0
66880143,1048083780,Juvenile hormone acid O-methyltransferase,0
22429558,1008321215,Neaphria,0
53029227,1029721238,Pterolophia antennata,0
46350711,1041015554,Haworthiopsis viscosa,0
41267443,998643436,Eudesmia lunaris,0
56346489,998985430,Digrammia pallorata,0
38529382,999003739,Resapamea mammuthus,0
12856662,1055698401,Anthurium glaucophyllum,0
11569456,1068135691,Stereum rameale,0
